sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,windspeed,winddirec,datacreationdate,unit,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
屏東(枋山),屏東縣,14,,良好,0.3,0.1,13.4,15.9,11,0,2.5,3.6,1.1,1.7,62,2024-05-21 08:00,,0,0.5,7,0,120.651472,22.260899,313
大甲（日南國小）,臺中市,63,細懸浮微粒,普通,0.8,0.45,11.9,4.5,52,30,18.9,24.9,5.9,0.3,29,2024-05-21 08:00,,0.3,20.3,33,0,120.65525382,24.39017512,312
新北(樹林),新北市,22,,良好,0.3,0.33,4.4,11.3,11,3,13.7,23.1,9.4,0.2,294,2024-05-21 08:00,,0.1,4.8,6,0,121.38352778,24.94902778,311
屏東（琉球）,屏東縣,78,細懸浮微粒,普通,0.6,0.27,9.7,20.3,23,16,7.6,9.8,2.2,0.7,358,2024-05-21 08:00,,0.2,26.4,36,1,120.37722,22.35222,204
臺南（麻豆）,臺南市,52,細懸浮微粒,普通,0.8,0.41,2.9,14.6,22,10,11.9,29.1,17.1,0.2,118,2024-05-21 08:00,,0.2,16,27,1,120.24583056,23.17904722,203
高雄（湖內）,高雄市,70,細懸浮微粒,普通,0.3,0.28,5.9,18.1,15,14,10.7,16.3,5.6,1.7,74,2024-05-21 08:00,,0.3,23.3,31,1,120.24535,22.87985556,202
彰化（員林）,彰化縣,86,細懸浮微粒,普通,1.9,0.59,10.8,18.4,46,31,18.1,24.6,6.5,1,4,2024-05-21 08:00,,0.3,29.6,40,2,120.56373,23.96117,201
大城,彰化縣,49,,良好,0.8,0.13,17.8,17.4,18,13,3.7,4.8,1.1,1.1,41,2024-05-21 08:00,,0.1,15.1,28,1,120.26964167,23.85493056,85
富貴角,新北市,34,,良好,0.1,0.08,37.2,37.9,7,1,2.7,3.2,0.4,6.4,41,2024-05-21 08:00,,0,0.5,9,0,121.53656894,25.29681695,84
麥寮,雲林縣,44,,良好,1.7,0.25,10.6,20.4,14,6,7.8,13.2,5.3,1.4,28,2024-05-21 08:00,,0.2,13.7,25,1,120.251825,23.753506,83
關山,臺東縣,12,,良好,0.3,0.16,11.4,13.3,14,3,3.6,6.2,2.6,0.6,125,2024-05-21 08:00,,0.1,3.8,12,0,121.161933,23.045083,80
馬公,澎湖縣,30,,良好,0.8,0.4,42.2,32.8,27,18,7.7,8.9,1.1,0.4,67,2024-05-21 08:00,,0.1,7.2,13,0,119.566158,23.569031,78
金門,金門縣,32,,良好,0.8,0.24,35,35.9,7,6,4.3,5.1,0.7,2.5,67,2024-05-21 08:00,,0.2,5,3,0,118.312256,24.432133,77
馬祖,連江縣,44,,良好,0.6,0.13,45.5,47.3,14,4,3,3.7,0.7,2.3,334,2024-05-21 08:00,,0.1,3.2,9,0,119.93149378,26.15188416,75
埔里,南投縣,75,細懸浮微粒,普通,1.4,0.38,16.7,18.6,33,27,6.3,8.3,2,1.5,282,2024-05-21 08:00,,0.3,25.4,31,1,120.967903,23.968842,72
復興,高雄市,67,細懸浮微粒,普通,0.5,0.72,8.8,22.9,20,11,15.2,25.6,10.4,0.8,112,2024-05-21 08:00,,0.4,21.9,32,1,120.312017,22.608711,71
永和,新北市,32,,良好,1.4,1.95,7.4,21.7,19,5,19,49.7,30.7,0.6,337,2024-05-21 08:00,,0.4,2.5,4,1,121.516306,25.017,70
竹山,南投縣,61,細懸浮微粒,普通,0.7,0.3,8.4,9.5,24,21,11.4,14.9,3.4,0.8,338,2024-05-21 08:00,,0.2,19.6,29,0,120.677306,23.756389,69
中壢,桃園市,43,,良好,0.8,1.35,2.9,16.7,15,8,26.5,81.7,55.2,0.3,344,2024-05-21 08:00,,0.5,5.5,10,1,121.221667,24.953278,68
三重,新北市,37,,良好,1.3,0.91,9.2,18.7,9,2,22.9,65.7,42.8,-,-,2024-05-21 08:00,,0.3,1.9,7,1,121.493806,25.072611,67
冬山,宜蘭縣,18,,良好,0,0.31,8.4,19.3,26,5,11,21.3,10.3,0.9,38,2024-05-21 08:00,,0.1,3,9,0,121.792928,24.632203,66
宜蘭,宜蘭縣,19,,良好,1,0.21,11.6,20.0,5,4,4.1,6.1,2,0.3,122,2024-05-21 08:00,,0.1,1.6,2,1,121.746394,24.747917,65
陽明,臺北市,29,,良好,0.7,0.13,20.2,31.5,0,2,0.9,1.6,0.6,2,360,2024-05-21 08:00,,0.1,0.7,1,0,121.529583,25.182722,64
